text,favorited,created,statusSource,retweetCount,,,
@jimsciutto There is no way that “people” were not going to be “left behind.” How many do you think would have been… https://t.co/6xYNvbT6hm,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",0,,,
"RT @kinsellawarren: The sad/ironic/maddening thing is that, were she back in Afghanistan, Ms. Monsef would likely be among the first to be…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",285,,,
RT @laraseligman: JUST IN: Two sources tell me and @alexbward that the Taliban has been attacking people trying to get through Abbey gate a…,FALSE,26-08-2021 03:01,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",111,,,
"RT @AlinejadMasih: This woman is still in Afghanistan and she has a message for Maryam Mansef.

Your “brothers” rape and kill us here in Af…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",714,,,
"RT @Jim_Jordan: 600,000 weapons
75,000 vehicles
208 planes 

All paid for by you. 

All left behind in Afghanistan for the Taliban by Joe B…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",3140,,,
"RT @zahrasultani_: As a Canadian who moved to this country as an Afghan refugee, I want to be very clear, there is no cultural context in w…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",1214,,,
RT @sunlorrie: 'What is sharia law? And how is the Taliban using it in Afghanistan?' https://t.co/j2oEyugCN4 #cdnpoli,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",25,,,
RT @mikepompeo: Christians and other religious minorities in Afghanistan are being persecuted for their faith. We are praying for their saf…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",3052,,,
"RT @yamphoto: The sea of humanity continues to flow towards the airport. Afghans with paperwork have to traverse flooded streets, Taliban c…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",222,,,
RT @newsmax: Callista Gingrich: \In Taliban-controlled Afghanistan," women in particular are in grave danger.\"" https://t.co/WDZFQMFoRc""",NA,NA,DGayPhilosopher,NA,,
RT @Daroff: The US-Israel relationship is at the core of America’s strategic interests in the Middle East; the importance is brought into s…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",2,,,
"RT @manori_r: EXCLUSIVE: Members of an all-girl robotics team from Afghanistan, known as the Afghan Dreamers, are the subjects of a new fea…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",27,,,
"RT @NatashaFatah: At federal government update on Canada's evacuation efforts in Afghanistan, Minister Maryam Monsef referred to the Taliba…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",206,,,
"From ABC News:

The Taliban inherited a vast American-made arsenal after retaking Afghanistan… https://t.co/M1RhcRVL9h",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",0,,,
RT @laralogan: Hundreds of millions of US tax dollars are sent to Pakistan every year - billions since 1951. The Pak government has been ta…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",1093,,,
"RT @_peacekeeper2: This is the result of trusting a snake

US in the name of \Anti-Terror fund\"" paid billions of dollar to #Pakistan",,,,,,,
,,,,,,,
"What…""",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",77,,,
@akuma_river @back_bencher_48 @Osinttechnical Afghanistan ISIS and Taliban fighters study in same madrassas ... The… https://t.co/VulUnkUDod,FALSE,26-08-2021 03:01,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",0,,,
"RT @RealCandaceO: Afghanistan has vaccinated approximately 2.4% of their population. (Source: Reuters)
They are a nation of about 40 millio…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",8615,,,
"RT @Mel_Ankoly: If you're curious about the actual deal former guy made with \the Islamic Emirate of Afghanistan which is not recognized by…""",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",3,,,
RT @realsarahpolley: I don’t vote for her party but I’d venture to say this woman might know a bit more about Afghanistan than her critics…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",62,,,
"RT @sima_kotecha: Credible reports of #Taliban executions, restrictions on women and recruiting child soldiers, says UN. #Afghanistan  http…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",6,,,
"RT @starsandstripes: Charlotte Maxwell-Jones, an American who founded Kabul Small Animal Rescue in 2018, was recently told by the Taliban t…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",30,,,
RT @Swamy39: GoI must seriously consider the recognition of a new Free Afghanistan headed by Masood's son and Amrullah Salah. They are  in…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",852,,,
"RT @MeidasTouch: Kevin McCarthy is whining that 5,000 Taliban prisoners were released in Afghanistan. Maybe he should take it up with the g…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",4783,,,
RT @newsmax: Callista Gingrich: \In Taliban-controlled Afghanistan," women in particular are in grave danger.\"" https://t.co/WDZFQMFoRc""",NA,NA,cheeryMIO,NA,,
"RT @RealCandaceO: Afghanistan has vaccinated approximately 2.4% of their population. (Source: Reuters)
They are a nation of about 40 millio…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",8615,,,
"RT @NatashaBertrand: Fear is mounting for women and girls in Afghanistan after the Taliban told working women to stay at home, with Taliban…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",91,,,
RT @JohnBlaxland1: Hard hitting piece by former Afghan Army field commander: “I Commanded Afghan Troops This Year. We Were Betrayed. The Af…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",6,,,
RT @nitingokhale: Tragic but true. The real reasons why the Afghan Army folded up so quickly. https://t.co/djZo6nALTo Confirms what Lt Gen…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",30,,,
"RT @ddale8: Kevin McCarthy warned on Fox that there are 5,000 prisoners who “just left Afghanistan” and are hoping to cross US borders. The…",FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",9172,,,
RT @farnazfassihi: A 345-seat chartered plane to evacuate Afghans leaves Kabul empty today because they couldn't get through Taliban checkp…,FALSE,26-08-2021 03:01,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",1106,,,
